skill,users,target_users,non_target_users,log_odds_target,abs_log_odds
IT Portfolio Management,39,27,12,0.3721087664188616,0.3721087664188616
Git Stash,88,45,43,-0.37139720608314164,0.37139720608314164
Electronic Circuit Design,122,84,38,0.36974469912398167,0.36974469912398167
LBO,90,62,28,0.36891387552234267,0.36891387552234267
Strategic Thinking,41,21,20,-0.3687205449561537,0.3687205449561537
IT Leadership,58,40,18,0.36718264808280576,0.36718264808280576
SolidWorks Electrical,605,310,295,-0.3668335294180274,0.3668335294180274
Environmental Program Management,39,20,19,-0.36633817337074603,0.36633817337074603
Business Presentations,42,29,13,0.3653519839559829,0.3653519839559829
Data Engineering,163,112,51,0.3650228200293766,0.3650228200293766
Linear Video Editing,76,39,37,-0.3643888550146972,0.3643888550146972
Dynamic Programming,37,19,18,-0.3637048604599862,0.3637048604599862
After Effects,26,18,8,0.36135597464260005,0.36135597464260005
Microsoft Enterprise Project Management,26,18,8,0.36135597464260005,0.36135597464260005
Technical Communication,35,18,17,-0.36077874279059774,0.36077874279059774
Industry Research,35,18,17,-0.36077874279059774,0.36077874279059774
Java Application Server,45,31,14,0.3594903024596503,0.3594903024596503
Devops Development,45,31,14,0.3594903024596503,0.3594903024596503
Marketing Management,280,144,136,-0.35939370101793555,0.35939370101793555
Computer Architecture,64,44,20,0.358715709082424,0.358715709082424
Critical Chain Project Management,33,17,16,-0.3575080939224744,0.3575080939224744
Engineering Mathematics,219,150,69,0.35628773767277533,0.35628773767277533
Microsoft Certified Professional,1047,716,331,0.3544018436969014,0.3544018436969014
Secure Network Communications,31,16,15,-0.35382823696407417,0.35382823696407417
SAP Inventory Management,31,16,15,-0.35382823696407417,0.35382823696407417
Music Production,31,16,15,-0.35382823696407417,0.35382823696407417
Traditional Chinese Medicine,29,20,9,0.35278449359246,0.35278449359246
Microsoft Visio,29,20,9,0.35278449359246,0.35278449359246
Financial Risk Monitoring,29,20,9,0.35278449359246,0.35278449359246
Retail Marketing Strategy,93,48,45,-0.3524971219588746,0.3524971219588746
Sensitivity Training,130,89,41,0.352196604098749,0.352196604098749
Battery Cell Manufacturing,51,35,16,0.3498237216294271,0.3498237216294271
Product Marketing,51,35,16,0.3498237216294271,0.3498237216294271
Financial Management Strategy,51,35,16,0.3498237216294271,0.3498237216294271
Product Design Reviews,29,15,14,-0.349657219446736,0.349657219446736
Corporate Fundraising,87,45,42,-0.3481403439188746,0.3481403439188746
Logic Simulation,54,37,17,0.3457914581014885,0.3457914581014885
Credit Valuation,32,22,10,0.3457914581014885,0.3457914581014885
SQL Server Reporting Services,32,22,10,0.3457914581014885,0.3457914581014885
Stress Analysis,27,14,13,-0.3448896299632631,0.3448896299632631
Writing for the Web,27,14,13,-0.3448896299632631,0.3448896299632631
Legal Projects,214,146,68,0.34384308924353446,0.34384308924353446
Jupyter,101,69,32,0.3437380692896461,0.3437380692896461
