user_country,users,target_users,target_rate,overall_target_rate,comparison,feature,log_odds_coefficient,odds_ratio,std_error,z_value,p_value,direction
Japan,39,34,0.8717948717948718,0.6026001625101569,Japan vs all other user_country values,user_country::Japan,1.7729029285862505,5.887920790208969,0.4839681296331681,3.663263797824978,0.0002490218461494576,increases odds vs rest
Hong Kong,52,40,0.7692307692307693,0.6026001625101569,Hong Kong vs all other user_country values,user_country::Hong Kong,0.7178161438678852,2.0499515195442815,0.3335843757671067,2.151827831316151,0.0314109169726307,increases odds vs rest
Missing,733,508,0.6930422919508867,0.6026001625101569,Missing vs all other user_country values,user_country::Missing,0.3538532791569673,1.4245461605324194,0.08283132200092502,4.271974304032183,1.9374990683678245e-05,increases odds vs rest
China,32,20,0.625,0.6026001625101569,China vs all other user_country values,user_country::China,0.25170418588962334,1.2862155003095355,0.37244526579542153,0.6758152378499572,0.4991579588592497,increases odds vs rest
Canada,40,23,0.575,0.6026001625101569,Canada vs all other user_country values,user_country::Canada,-0.05129888312796115,0.949994690711446,0.327714658307584,-0.15653521082298805,0.8756111670939791,decreases odds vs rest
United Kingdom,138,84,0.6086956521739131,0.6026001625101569,United Kingdom vs all other user_country values,user_country::United Kingdom,-0.12556026515401436,0.8820026088022724,0.1766720107932767,-0.7106969835812419,0.47727202928418416,decreases odds vs rest
United States,14626,8712,0.5956515793791878,0.6026001625101569,United States vs all other user_country values,user_country::United States,-0.3307216031786964,0.7184051429114284,0.06106907590757558,-5.415533119892365,6.110635917492081e-08,decreases odds vs rest
Singapore,37,20,0.5405405405405406,0.6026001625101569,Singapore vs all other user_country values,user_country::Singapore,-0.40486493776645066,0.6670669003199795,0.33307971338112763,-1.2155196534085597,0.22416795759438635,decreases odds vs rest
