scenario,label,rows,target_rows,non_target_rows,target_rate,test_auc,test_accuracy,test_precision,test_recall,test_f1
Original_with_seniority,"Levels 1-2, with seniority predictor",25042,10997,14045,0.4391422410350611,0.8289906849467645,0.7681709265175719,0.710291734197731,0.7971805366075488,0.7512320548532246
A_no_seniority_feature,"Levels 1-2, no seniority predictor",25042,10997,14045,0.4391422410350611,0.7637069569957282,0.6904952076677316,0.6352646936223426,0.6930422919508867,0.6628969117007394
B_seniority_1_only,Seniority 1 only,9043,1356,7687,0.1499502377529581,0.7867653237365165,0.8639380530973452,0.7777777777777778,0.12915129151291513,0.22151898734177214
C_seniority_2_only,Seniority 2 only,15999,9641,6358,0.6026001625101569,0.7564234615986847,0.74125,0.7184273232724384,0.9382780082987552,0.8137651821862347
