role_k17000_v3,2024,2025,total
Software Engineering,956,167,1123
Investment Analyst,357,66,423
Corporate Transactions Lawyer,187,42,229
Software Development,149,33,182
General Analyst,153,18,171
Seasonal Associate,53,19,72
Corporate Legal,20,30,50
Research Scholar,36,11,47
Technical Project Engineer,31,6,37
Legal Research,14,21,35
Registered Nurse,19,14,33
Quantitative Analyst,20,10,30
Equity Research Analysts,24,5,29
Oncology Research Coordinator,21,7,28
Process Engineering Specialist,23,5,28
