major,users,share
Engineering,5062,0.5250492687480551
Missing,1808,0.1875324136500363
Economics,1459,0.15133284928949278
Business,663,0.06876879991702106
Mathematics,195,0.02022611762265325
Finance,149,0.015454828337309408
Statistics,134,0.01389897313556685
Biology,38,0.0039414998444144795
Other,133,0.01379524945545068
