split,accuracy,precision,recall,f1,auc,tp,tn,fp,fn
train,0.7453707320884444,0.7185047095761381,0.9494360171139634,0.8179838034068695,0.7605069123789605,7323,2217,2869,390
test,0.74125,0.7184273232724384,0.9382780082987552,0.8137651821862347,0.7564234615986847,1809,563,709,119
