split,accuracy,precision,recall,f1,auc,tp,tn,fp,fn
train,0.6862254863661224,0.7050926439587263,0.8239336185660573,0.7598947746024154,0.7016614120442278,6355,2428,2658,1358
test,0.67375,0.6959219858156028,0.8143153526970954,0.7504780114722752,0.6915246026775229,1570,586,686,358
