k,inertia,inertia_pct_of_k2,inertia_drop_from_previous
2,716810.8627593167,1.0,
3,609272.0906312915,0.8499760847456166,107538.77212802519
4,511062.9984514881,0.7129677087819015,98209.09217980341
5,445491.5514536993,0.6214910719109482,65571.4469977888
6,393554.52674927993,0.549035383245055,51937.02470441937
7,325403.70332943375,0.453960340495976,68150.82341984619
8,296301.07472715137,0.413360190422561,29102.628602282377
9,251590.59929070537,0.3509860304323846,44710.475436445995
10,219228.3044717501,0.3058384238596009,32362.29481895527
