component,explained_variance_ratio
PC1,0.05548816653172704
PC2,0.03534148117804442
PC3,0.027715921588071707
PC4,0.023274053409624726
PC5,0.01989386907479361
PC6,0.015030008989445993
PC7,0.013325244876644068
PC8,0.012442952965944748
PC9,0.012182695004212055
PC10,0.012103537500961981
