major,users,target_rate
Finance,186,0.8010752688172043
Business,924,0.7175324675324676
Engineering,7114,0.7115546809108799
Economics,2115,0.6898345153664303
Statistics,225,0.5955555555555555
Mathematics,344,0.5668604651162791
Missing,4194,0.43109203624225084
Physics,109,0.3302752293577982
Chemistry,98,0.19387755102040816
Biology,319,0.11912225705329153
Nursing,225,0.008888888888888889
