split,accuracy,precision,recall,f1,auc,tp,tn,fp,fn
train,0.7459957809203844,0.7183829287392326,0.9515104369246726,0.8186736572034135,0.7599006156725863,7339,2209,2877,374
test,0.7415625,0.7183657278857596,0.9393153526970954,0.8141155315801304,0.7552776527310212,1811,562,710,117
