entry_job_year,users,popular_rate
2020,26,0.038461538461538464
2021,181,0.03867403314917127
2022,1033,0.09970958373668926
2023,3738,0.08079186730872125
2024,8152,0.16020608439646714
2025,2010,0.11393034825870647
