,precision,recall,f1-score,support
0,0.9036363636363637,0.9420015163002274,0.9224201930215293,2638.0
1,0.44964028776978415,0.32051282051282054,0.37425149700598803,390.0
accuracy,0.8619550858652576,0.8619550858652576,0.8619550858652576,0.8619550858652576
macro avg,0.6766383257030739,0.631257168406524,0.6483358450137586,3028.0
weighted avg,0.8451626286337329,0.8619550858652576,0.8518172235875594,3028.0
