scenario,label,rows,target_rows,non_target_rows,target_rate,test_auc,test_accuracy,test_precision,test_recall,test_f1
Original_with_seniority,"Levels 1-2, with seniority predictor",25042,10997,14045,0.4391422410350611,0.8292688138933665,0.7675718849840255,0.7080820265379976,0.800818553888131,0.7516005121638923
A_no_seniority_feature,"Levels 1-2, no seniority predictor",25042,10997,14045,0.4391422410350611,0.7643415701917001,0.6918929712460063,0.6359867330016584,0.6975898135516144,0.6653654304923011
B_seniority_1_only,Seniority 1 only,9043,1356,7687,0.1499502377529581,0.7866500851085284,0.8628318584070797,0.7254901960784313,0.13653136531365315,0.2298136645962733
C_seniority_2_only,Seniority 2 only,15999,9641,6358,0.6026001625101569,0.7552776527310212,0.7415625,0.7183657278857596,0.9393153526970954,0.8141155315801304
