model,status,test_accuracy,test_precision,test_recall,test_f1,test_auc
Logistic regression,fit,0.7415625,0.7183657278857596,0.9393153526970954,0.8141155315801304,0.7552776527310212
Decision tree,fit,0.693125,0.6690493209435311,0.970954356846473,0.792213288192975,0.7009854771784232
Random forest,fit,0.693125,0.6656162464985994,0.9859958506224067,0.7947324414715721,0.7317408628878624
XGBoost,skipped: xgboost package is not installed in this runtime,,,,,
