split,accuracy,precision,recall,f1,auc,tp,tn,fp,fn
train,0.6866161418860849,0.7047566371681416,0.8260080383767665,0.7605801945920134,0.7014839891937248,6371,2417,2669,1342
test,0.678125,0.6986725663716814,0.8189834024896265,0.7540592168099332,0.6916457077428951,1579,591,681,349
