(linkedin_url) Company LinkedIn URL,rcid,company,(naics_code) NAICS industry code,hq_state,industry,rcid_int
http://linkedin.com/company/siemens,1314485,Siemens AG,333998,Bavaria,Energy and Resources,1314485
http://linkedin.com/company/silver-lake,618378,Silver Lake Management Co. LLC,523910,California,Financial Services,618378
http://linkedin.com/company/snap-inc-co,692801,"Snap, Inc.",513210,California,Digital Commerce Services,692801
http://linkedin.com/company/sofi,21048180,"SoFi Technologies, Inc.",522291,California,Information Technology Services,21048180
http://linkedin.com/company/spacex,1012186,Space Exploration Technologies Corp.,336414,California,Aerospace and Defense,1012186
http://linkedin.com/company/spglobal,296301,"S&P Global, Inc.",518210,New York,Financial Services,296301
http://linkedin.com/company/starbucks,1037635,Starbucks Corp.,722515,Washington,Hospitality and Tourism Management,1037635
http://linkedin.com/company/stripe,906508,"Stripe, Inc.",513210,California,Information Technology Services,906508
http://linkedin.com/company/target,739347,Target Corp.,455211,Minnesota,Retail and Consumer Goods,739347
http://linkedin.com/company/temasek-holdings,480127,Temasek Holdings Pte Ltd.,523999,Financial Services,,480127
http://linkedin.com/company/tesla-motors,803508,"Tesla, Inc.",336110,Texas,Energy and Resources,803508
http://linkedin.com/company/the-trade-desk,832518,"The Trade Desk, Inc.",513210,California,Digital Commerce Services,832518
http://linkedin.com/company/uber-com,500864,"Uber Technologies, Inc.",485310,California,Digital Commerce Services,500864
http://linkedin.com/company/ubs,560872,UBS AG,523940,Zurich,Financial Services,560872
http://linkedin.com/company/verizon,20921455,"Verizon Communications, Inc.",517112,New York,Telecommunications Services,20921455
http://linkedin.com/company/visa,1058117,"Visa, Inc.",522320,California,Information Technology Services,1058117
http://linkedin.com/company/wellsfargo,1191500,Wells Fargo & Co.,522110,California,Financial Services,1191500
http://linkedin.com/company/akuna-capital,26990604,Akuna Securities LLC,,,,26990604
http://linkedin.com/company/aqr-capital-management,857329,AQR Capital Management LLC,,,,857329
http://linkedin.com/company/bridgewater-associates,211728,Bridgewater Associates LP,,,,211728
http://linkedin.com/company/citadel-llc,1495198,Citadel Enterprise Americas LLC,,,,1495198
http://linkedin.com/company/citadel-securities,98807897,Citadel Securities LLC,,,,98807897
http://linkedin.com/company/drw,23458589,DRW Holdings LLC,,,,23458589
http://linkedin.com/company/flow-traders,356719,Flow Traders BV,,,,356719
http://linkedin.com/company/hudson-river-trading,1406919,Hudson River Trading LLC,,,,1406919
http://linkedin.com/company/imc-trading,915003,IMC Trading BV,,,,915003
http://linkedin.com/company/jane-street-global,22150778,Jane Street Group LLC,,,,22150778
http://linkedin.com/company/jump-trading,77744,Jump Trading LLC,,,,77744
http://linkedin.com/company/millennium-partners,818770,Millennium Management LLC,,,,818770
http://linkedin.com/company/optiver,946155,Optiver Holding BV,,,,946155
http://linkedin.com/company/point72-asset-management-l-p-,8062190,Point72 LP,,,,8062190
http://linkedin.com/company/two-sigma-investments,1245348,Two Sigma Investments LP,,,,1245348
