company_name,rcid,top_first_job_count,latest_profile_count_proxy,in_excel_popular_list,excel_industry,hq_state,suggested_bucket,suggested_action,confidence,manual_decision,notes
"Rivian Automotive, Inc.",22237205.0,0,0,1,Automotive Services,California,other_or_review,review,low,1,no exact match or sector keyword
Royal Bank Of Canada,5959773.0,0,0,1,,Professional Development Services,finance,review,medium,1,finance keyword: \bbank\b
"Salesforce, Inc.",115177.0,0,0,1,Information Technology Services,California,other_or_review,review,low,1,no exact match or sector keyword
"Samsung Electronics Co., Ltd.",1032978.0,0,0,1,Electronics Manufacturing,Gyeonggi-do,other_or_review,review,low,1,no exact match or sector keyword
Sanofi,462023.0,0,0,1,Pharmaceuticals,Ile-de-France,other_or_review,review,low,1,no exact match or sector keyword
"Santander Bank, NA (Wilmington, Delaware)",1502483.0,0,0,1,Financial Services,Delaware,finance,review,medium,1,finance keyword: \bbank\b
Shell Plc,347298.0,0,0,1,Energy and Resources,England,other_or_review,review,low,1,no exact match or sector keyword
Siemens AG,1314485.0,0,0,1,Energy and Resources,Bavaria,other_or_review,review,low,1,no exact match or sector keyword
Silver Lake Management Co. LLC,618378.0,0,0,1,Financial Services,California,other_or_review,review,low,1,no exact match or sector keyword
"Snap, Inc.",692801.0,0,0,1,Digital Commerce Services,California,other_or_review,review,low,1,no exact match or sector keyword
"SoFi Technologies, Inc.",21048180.0,0,0,1,Information Technology Services,California,tech,review,medium,1,tech keyword: \btechnolog
Space Exploration Technologies Corp.,1012186.0,0,0,1,Aerospace and Defense,California,tech,review,medium,1,tech keyword: \btechnolog
"S&P Global, Inc.",296301.0,0,0,1,Financial Services,New York,other_or_review,review,low,1,no exact match or sector keyword
Starbucks Corp.,1037635.0,0,0,1,Hospitality and Tourism Management,Washington,other_or_review,review,low,0,no exact match or sector keyword
"Stripe, Inc.",906508.0,0,0,1,Information Technology Services,California,tech,accept_if_sensible,high,1,exact target list match
Target Corp.,739347.0,0,0,1,Retail and Consumer Goods,Minnesota,other_or_review,review,low,0,no exact match or sector keyword
Temasek Holdings Pte Ltd.,480127.0,0,0,1,,Financial Services,other_or_review,review,low,0,no exact match or sector keyword
"Tesla, Inc.",803508.0,0,0,1,Energy and Resources,Texas,other_or_review,review,low,1,no exact match or sector keyword
"The Trade Desk, Inc.",832518.0,0,0,1,Digital Commerce Services,California,other_or_review,review,low,1,no exact match or sector keyword
"Uber Technologies, Inc.",500864.0,0,0,1,Digital Commerce Services,California,tech,review,medium,1,tech keyword: \btechnolog
UBS AG,560872.0,0,0,1,Financial Services,Zurich,other_or_review,review,low,1,no exact match or sector keyword
"Verizon Communications, Inc.",20921455.0,0,0,1,Telecommunications Services,New York,other_or_review,review,low,1,no exact match or sector keyword
"Visa, Inc.",1058117.0,0,0,1,Information Technology Services,California,other_or_review,review,low,1,no exact match or sector keyword
Wells Fargo & Co.,1191500.0,0,0,1,Financial Services,California,other_or_review,review,low,1,no exact match or sector keyword
Akuna Securities LLC,26990604.0,0,0,1,,,finance,review,medium,1,finance keyword: \bsecurities\b
AQR Capital Management LLC,857329.0,0,0,1,,,finance,review,medium,1,finance keyword: \bcapital\b
Bridgewater Associates LP,211728.0,0,0,1,,,other_or_review,review,low,1,no exact match or sector keyword
Citadel Enterprise Americas LLC,1495198.0,0,0,1,,,other_or_review,review,low,1,no exact match or sector keyword
Citadel Securities LLC,98807897.0,0,0,1,,,quant,accept_if_sensible,high,1,exact target list match
DRW Holdings LLC,23458589.0,0,0,1,,,other_or_review,review,low,1,no exact match or sector keyword
Flow Traders BV,356719.0,0,0,1,,,other_or_review,review,low,1,no exact match or sector keyword
Hudson River Trading LLC,1406919.0,0,0,1,,,quant,accept_if_sensible,high,1,exact target list match
IMC Trading BV,915003.0,0,0,1,,,quant,review,medium,1,quant keyword: \btrading\b
Jane Street Group LLC,22150778.0,0,0,1,,,other_or_review,review,low,1,no exact match or sector keyword
Jump Trading LLC,77744.0,0,0,1,,,quant,review,medium,1,quant keyword: \btrading\b
